strategy,auxiliary_target_count,subset_replicate,shots,simulator_seed,attack,nominal_fpr,n_member,n_nonmember,actual_fpr,calibrated_tpr
cross_cell_12,12,0,1024,0,loss_mia,0.01,1500,1500,0.014666666666666666,0.007333333333333333
cross_cell_12,12,0,1024,0,latent_lira_mismatched,0.01,1500,1500,0.012,0.018666666666666668
cross_cell_12,12,0,1024,0,affine_channel_lira,0.01,1500,1500,0.01,0.02666666666666667
cross_cell_12,12,0,1024,1,loss_mia,0.01,1500,1500,0.012,0.009333333333333334
cross_cell_12,12,0,1024,1,latent_lira_mismatched,0.01,1500,1500,0.013333333333333334,0.02
cross_cell_12,12,0,1024,1,affine_channel_lira,0.01,1500,1500,0.012,0.02666666666666667
cross_cell_12,12,0,1024,2,loss_mia,0.01,1500,1500,0.014666666666666666,0.01
cross_cell_12,12,0,1024,2,latent_lira_mismatched,0.01,1500,1500,0.009333333333333334,0.018666666666666668
cross_cell_12,12,0,1024,2,affine_channel_lira,0.01,1500,1500,0.009333333333333334,0.027333333333333334
cross_cell_12,12,0,1024,3,loss_mia,0.01,1500,1500,0.011333333333333334,0.009333333333333334
cross_cell_12,12,0,1024,3,latent_lira_mismatched,0.01,1500,1500,0.011333333333333334,0.012666666666666666
cross_cell_12,12,0,1024,3,affine_channel_lira,0.01,1500,1500,0.009333333333333334,0.027333333333333334
cross_cell_12,12,0,1024,4,loss_mia,0.01,1500,1500,0.014,0.009333333333333334
cross_cell_12,12,0,1024,4,latent_lira_mismatched,0.01,1500,1500,0.009333333333333334,0.017333333333333333
cross_cell_12,12,0,1024,4,affine_channel_lira,0.01,1500,1500,0.011333333333333334,0.028666666666666667
cross_cell_12,12,0,1024,5,loss_mia,0.01,1500,1500,0.012666666666666666,0.008
cross_cell_12,12,0,1024,5,latent_lira_mismatched,0.01,1500,1500,0.009333333333333334,0.019333333333333334
cross_cell_12,12,0,1024,5,affine_channel_lira,0.01,1500,1500,0.008666666666666666,0.024666666666666667
cross_cell_12,12,0,1024,6,loss_mia,0.01,1500,1500,0.013333333333333334,0.01
cross_cell_12,12,0,1024,6,latent_lira_mismatched,0.01,1500,1500,0.012666666666666666,0.014666666666666666
cross_cell_12,12,0,1024,6,affine_channel_lira,0.01,1500,1500,0.010666666666666666,0.02266666666666667
cross_cell_12,12,0,1024,7,loss_mia,0.01,1500,1500,0.014,0.008
cross_cell_12,12,0,1024,7,latent_lira_mismatched,0.01,1500,1500,0.01,0.016
cross_cell_12,12,0,1024,7,affine_channel_lira,0.01,1500,1500,0.012,0.024
cross_cell_12,12,0,1024,8,loss_mia,0.01,1500,1500,0.012,0.008
cross_cell_12,12,0,1024,8,latent_lira_mismatched,0.01,1500,1500,0.01,0.02
cross_cell_12,12,0,1024,8,affine_channel_lira,0.01,1500,1500,0.011333333333333334,0.02666666666666667
cross_cell_12,12,0,1024,9,loss_mia,0.01,1500,1500,0.012666666666666666,0.008
cross_cell_12,12,0,1024,9,latent_lira_mismatched,0.01,1500,1500,0.016,0.017333333333333333
cross_cell_12,12,0,1024,9,affine_channel_lira,0.01,1500,1500,0.009333333333333334,0.02666666666666667
cross_cell_12,12,0,128,0,loss_mia,0.01,1500,1500,0.014666666666666666,0.007333333333333333
cross_cell_12,12,0,128,0,latent_lira_mismatched,0.01,1500,1500,0.016666666666666666,0.019333333333333334
cross_cell_12,12,0,128,0,affine_channel_lira,0.01,1500,1500,0.012,0.022
cross_cell_12,12,0,128,1,loss_mia,0.01,1500,1500,0.009333333333333334,0.010666666666666666
cross_cell_12,12,0,128,1,latent_lira_mismatched,0.01,1500,1500,0.016666666666666666,0.016
cross_cell_12,12,0,128,1,affine_channel_lira,0.01,1500,1500,0.01,0.024666666666666667
cross_cell_12,12,0,128,2,loss_mia,0.01,1500,1500,0.006,0.01
cross_cell_12,12,0,128,2,latent_lira_mismatched,0.01,1500,1500,0.015333333333333332,0.015333333333333332
cross_cell_12,12,0,128,2,affine_channel_lira,0.01,1500,1500,0.01,0.023333333333333334
cross_cell_12,12,0,128,3,loss_mia,0.01,1500,1500,0.012666666666666666,0.010666666666666666
cross_cell_12,12,0,128,3,latent_lira_mismatched,0.01,1500,1500,0.012666666666666666,0.014
cross_cell_12,12,0,128,3,affine_channel_lira,0.01,1500,1500,0.012,0.020666666666666667
cross_cell_12,12,0,128,4,loss_mia,0.01,1500,1500,0.009333333333333334,0.008
cross_cell_12,12,0,128,4,latent_lira_mismatched,0.01,1500,1500,0.018666666666666668,0.016666666666666666
cross_cell_12,12,0,128,4,affine_channel_lira,0.01,1500,1500,0.011333333333333334,0.023333333333333334
cross_cell_12,12,0,128,5,loss_mia,0.01,1500,1500,0.012,0.01
cross_cell_12,12,0,128,5,latent_lira_mismatched,0.01,1500,1500,0.018666666666666668,0.02266666666666667
cross_cell_12,12,0,128,5,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.023333333333333334
cross_cell_12,12,0,128,6,loss_mia,0.01,1500,1500,0.012666666666666666,0.006
